METADATA,Execution time: 2025-11-16 19:12:03,,Total projects collected: 1820,Total pages processed: 200,Duration: 43.50 seconds
87,2511-150172-04-01-935357,20251104165225762N,AI动态智慧植物活性物质提取工厂（北方区域总部）大健康项目,工业项目备案（工信）,批复
87,2511-150924-04-01-430828,20251104164435736N,内蒙古和丰粘土科技有限公司膨润土加工项目,工业项目备案（发改）,批复
87,2511-152527-04-05-757272,20251104164217632N,太仆寺旗宏泽畜牧养殖家庭牧场项目,农林牧水项目备案,批复
8,2511-150571-04-01-138479,20251114100440956N,通辽开发区产业园基础设施配套项目一期换热站工程,城市基础设施项目建议书审批,批复
8,2511-150523-04-01-198766,20251114100436954N,开鲁县小街基镇文体活动中心建设项目,政府投资社会事业项目项目建议书审批,批复
8,2511-152998-89-01-190397,20251114100027939N,阿拉善盟嘉利达商贸有限责任公司阿拉善左旗腾格里苏木闫地拉图建筑石料矿建设项目,工业项目备案,批复
8,2511-150125-04-01-647239,20251114094752906N,武川县得胜沟乡得胜沟村2026年倒反沟堤防水毁修复以工代赈项目,以工代赈示范类项目可行性研究报告审批,批复
8,2511-150521-04-05-797646,20251114094552897N,内蒙古科尔沁左翼中旗通北园区“一轴两翼”现代农业基础设施互联互通项目,城市基础设施项目建议书审批,批复
8,2511-150526-04-01-280924,20251114093137826N,扎鲁特旗长输供热管网项目,城市供热、供气项目可行性研究报告审批,批复
8,2511-152531-04-01-678336,20251114092444817N,多伦县多伦诺尔镇小营盘村雨水排水管道及村道巷道硬化以工代赈建设项目,以工代赈示范类项目可行性研究报告审批,批复
8,2511-150423-04-01-275364,20251114092336815N,巴林右旗查干诺尔镇查干诺尔嘎查以工代赈通组路项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目项目建议书审批,批复
8,2511-150927-04-01-108613,20251114085226548N,察右中旗2026年中央财政以工代赈项目乌兰哈页苏木宿尼不浪此老沟村防洪工程,政府投资社会事业项目可行性研究报告审批,批复
8,2511-150525-04-01-738285,20251114084738529N,奈曼天然碱产业园物流连接线项目,政府投资社会事业项目可行性研究报告审批,不予许可
24,2511-150421-04-01-194077,20251112121716429N,智创正洁能源科技(呼和浩特市)有限公司巴彦花镇王爷伙房村张军非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
24,2511-150421-04-01-766055,20251112121401426N,智创正洁能源科技(呼和浩特市)有限公司绍根镇道德种牛场1姜洪超非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
24,2511-150205-04-01-414149,20251112120701422N,包头市青少年冬季运动会训练基地10千伏及以下线路工程,能源类的项目备案,批复
24,2511-152571-04-01-533406,20251112115122352N,乌拉盖管理区电厂余热余压利用长输供热管线建设项目,城市基础设施项目备案,批复
24,2511-150403-04-01-404856,20251112114508333N,内蒙古泰福农业科技有限公司花青素及玉米加工项目,工业项目备案（发改）,批复
24,2511-150404-04-01-120310,20251112113755300N,松山区农村生活垃圾填埋场建设项目,城镇污水和生活垃圾处理（除垃圾发电外）项目可行性研究报告审批,批复
24,2511-152998-89-02-814005,20251112113748295N,阿拉善左旗旻顺化工有限责任公司对甲基苯甲酸装置产能提升节能增效技改项目,工业项目备案,批复
24,2511-150924-07-02-116837,20251112113450273N,内蒙古兴洁天然气有限公司200万方/天液化天然气TSA净化装置项目,工业项目备案（工信）,批复
24,2511-150825-04-01-138557,20251112113242264N,炭窑口110kV变电站653广林线切改工程项目,城市基础设施项目可行性研究报告审批,
24,2511-150923-04-01-481238,20251112111642194N,商都县七台镇以工代赈南菜园道路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目项目建议书审批,批复
130,2510-150726-04-01-144412,20251029164436135N,新巴尔虎左旗乌云物流有限公司仓储项目,仓储物流类项目备案,批复
130,2510-150423-04-01-500148,20251029164431134N,巴林右旗宝日勿苏镇太平村以工代赈塘坝综合治理工程,农牧业项目可行性研究报告审批,批复
130,2510-150622-20-01-444791,20251029164418131N,苏华养殖项目,农牧业项目备案,批复
130,2510-150502-04-01-651699,20251029164339120N,2025年科尔沁区铁南传染病医院对面停车场充电站项目,加油站、加气站、充电桩项目备案,批复
130,2510-150502-04-01-474211,20251029164138117N,2025年科尔沁区霍林河大街检测站门前停车场充电站项目,加油站、加气站、充电桩项目备案,批复
130,2511-150203-04-01-585281,20251029164100110N,包钢股份节能减碳煤气综合利用项目（一期工程）,工业项目备案（发改）,批复
130,2510-150502-04-01-810761,20251029163949108N,2025年科尔沁区铁南金灿家园二期蒙商银行南侧停车场充电站项目,加油站、加气站、充电桩项目备案,批复
130,2510-150502-04-01-218097,20251029163407974N,2025年科尔沁区东顺路万华公园里路西停车场充电站项目,加油站、加气站、充电桩项目备案,批复
130,2510-150206-04-02-286925,20251029163229966N,润林苑小区地下管网改造工程（一期）,城市基础设施项目备案,批复
130,2510-150502-04-01-760001,20251029163210964N,2025年科尔沁区建国路卫健委停车场充电站项目,加油站、加气站、充电桩项目备案,批复
142,2510-150622-60-01-653658,20251028204134906N,内蒙古自治区鄂尔多斯市准格尔旗马俊良自然人户用分布式光伏项目,太阳能热发电项目备案,批复
142,2509-150824-04-01-830504,20251028203655904N,乌拉特中旗甘其毛都镇30吨/天生活垃圾无害化处置及5吨/天餐厨垃圾资源化处置项目,城镇污水和生活垃圾处理（除垃圾发电外）项目初步设计审批,批复
142,2510-150622-60-01-603216,20251028203358902N,内蒙古自治区鄂尔多斯市准格尔旗马根荣自然人户用分布式光伏项目,太阳能热发电项目备案,批复
142,2407-150105-04-04-122186,20251028190205865N,呼和浩特市户籍业务全市通办升级改造项目,信息化类项目初步设计审批,批复
142,2510-150304-20-05-481987,20251028174828819N,乌兰淖尔镇农产品加工仓储中心配套设施建设项目,农牧业项目可行性研究报告审批,批复
142,2511-150923-04-05-721305,20251028174624807N,云沃固废处置（商都）有限公司固废填埋及综合利用建设项目,环资类备案,批复
142,2510-150204-07-02-426450,20251028174619805N,内蒙古北方重工业集团有限公司燃气炉清洁能源替代项目,工业项目备案（工信）,批复
142,2510-152921-04-01-422120,20251028174128802N,油田开发配套绿色降碳设施项目,能源类的项目备案,批复
142,2510-150825-04-01-379154,20251028173828785N,内蒙古广联合创再生资源科技有限公司50万吨再生资源综合利用项目,非区域性危险废弃物处理项目、非区域性医疗垃圾处理项目核准,
142,2510-150121-04-01-177113,20251028172541755N,土默特左旗东片区小型引调水工程,城市基础设施项目建议书审批,批复
15,2502-150102-89-01-579136,20251017141120232N,阿尔泰游乐园提升改造及设备更新,社会事业项目备案,批复
15,2510-150271-04-01-900054,20251017124020204N,远景零碳智造基地（风电产业园）标准化厂房项目,社会事业项目备案,批复
15,2509-150122-04-01-727732,20251017122159177N,内蒙古瑞雪丰环保科技有限公司一般固废工业盐综合利用项目,工业项目备案（发改）,批复
15,2408-150121-04-02-525161,20251017121212171N,呼和浩特开沃汽车有限公司 客车(改装类)和挂车(专门为通用货车用)迁址、技改项目,工业项目备案（发改）,批复
15,2510-152524-04-01-504656,20251017121145168N,新建机动车检测车间及办公室建设项目,旗县产业类项目备案,批复
15,2506-150923-04-01-656571,20251017120401155N,商都县长盛工业园区排水管网建设项目,城市基础设施项目初步设计审批,批复
15,2510-150623-04-01-150884,20251017120245153N,鄂托克前旗城川镇建筑垃圾综合利用项目,涉及资源循环利用项目建议书审批,批复
15,2508-152522-04-01-244585,20251017115926150N,阿巴嘎旗消防救援大队二级消防救援站提升项目,政府投资社会事业项目初步设计审批,批复
15,2308-152527-04-01-641136,20251017115855132N,中国石油天然气股份有限公司内蒙古锡林郭勒销售分公司太仆寺旗宝昌镇南环路综合能源站,加油站、加气站、充电桩项目备案,批复
15,2510-150622-04-01-960217,20251017115419124N,内蒙古伊泰煤制油有限责任公司合成气制轻质芳烃关键技术研究及应用示范项目,工业项目备案（发改）,批复
61,2511-152523-04-01-306709,20251107100706661N,昌图锡力服务区新建加油站项目,加油站、加气站、充电桩项目备案,批复
61,2511-150822-04-01-291882,20251107100619658N,巴彦淖尔磴口工业园区基础设施建设项目,城市基础设施项目建议书审批,批复
61,2511-152921-04-03-724830,20251107100443654N,阿拉善供电公司2026年营销技术装备升级项目,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
61,2511-150123-04-01-773429,20251107100202647N,内蒙古金森洁再生资源科技有限公司固废资源循环利用项目,环资类备案,批复
61,2511-150121-04-01-667660,20251107095450628N,内蒙古海流水库维修养护工程,政府投资社会事业项目项目建议书审批,批复
61,2511-150421-04-01-251198,20251107094836581N,智创正洁能源科技（呼和浩特市）有限公司绍根镇爱根苏木村李兆君非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
61,2511-150421-04-01-600993,20251107093613450N,智创正洁能源科技（呼和浩特市）有限公司绍根镇爱根苏木村邹本军非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
61,2303-150402-04-01-573985,20251107092758440N,野驰溪悦河谷文化旅游产业园,旗县产业类项目备案,批复
61,2511-150621-04-01-111765,20251107092644436N,Y212至谷山梁储能电站公路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目项目建议书审批,批复
61,2511-150428-04-01-241571,20251107092050426N,赤峰铜诚矿业有限公司年产40万吨建筑碎石加工项目,工业项目备案（发改）,批复
161,2402-150782-04-05-459379,20251027120703764N,牙克石市方兴建筑工程有限公司二期水稳站办公区项目,城市基础设施项目备案,批复
161,2510-150824-60-01-625439,20251027120326762N,巴彦淖尔巴中30万千瓦/120万千瓦时电网侧独立储能电站,能源类的项目备案,批复
161,2510-150625-60-01-822871,20251027114953748N,杭锦旗亿丰大厦停车场电动汽车充电站建设项目,加油站、加气站、充电桩项目备案,批复
161,2510-150304-04-01-112890,20251027114006723N,内蒙古东景中科环保制品有限公司年产200万吨全生物降解制品项目,工业项目备案（发改）,批复
161,2511-150625-04-01-903199,20251027113827621N,杭锦旗库布齐农光牧产业融合示范园建设项目,旗县产业类项目备案,批复
161,2510-150428-04-01-870614,20251027113425614N,内蒙古自治区赤峰市智意能源有限公司重卡充电站光储充项目,加油站、加气站、充电桩项目备案,批复
161,2510-150304-04-01-576815,20251027112315588N,内蒙古东景中科科技新材料发展有限公司年产300万吨生物降解改性材料项目,工业项目备案（发改）,批复
161,2504-150727-04-01-168960,20251027111719586N,新巴尔虎右旗巴尔虎传统奶制品加工厂项目,农牧业项目初步设计审批,
161,2510-150105-04-01-711267,20251027111341574N,内蒙古出版集团呼和浩特金桥城市文化空间项目,社会事业项目备案,批复
161,2510-150302-04-01-937930,20251027110930536N,乌海市佳利汽车4S店,城市基础设施项目备案,批复
36,2511-150622-60-01-529528,20251111111529442N,内蒙古自治区鄂尔多斯市准格尔旗大路镇吕先在自然人户用分布式光伏项目,太阳能热发电项目备案,批复
36,2511-152923-04-05-499328,20251111111203430N,内蒙古富崟实业有限公司利用萤石尾矿年产6000万块蒸压标砖建设项目,工业项目备案（发改）,
36,2511-150621-60-01-784123,20251111110958417N,鄂尔多斯市腾超能源有限公司达拉特旗展旦召苏木井泉村一社贺三小等2处分布式光伏发电项目,光伏电站项目备案,批复
36,2511-152502-04-02-326480,20251111110720411N,锡林郭勒盟锡林浩特供电分公司2026年计量装置轮换工程,能源类的项目备案,批复
36,2511-150302-60-01-230766,20251111110335397N,内蒙古凯仕达机电工程有限公司乌海市海勃湾区话西游酒店充电桩建设项目,能源类的项目备案,批复
36,2511-150123-89-02-168096,20251111105940380N,呼和浩特市和林新区供电分公司2026年计量装置轮换工程,企业投资项目备案,批复
36,2511-150621-60-01-172890,20251111105918373N,鄂尔多斯市腾超能源有限公司达拉特旗吉格斯太镇召圪梁村召北社杜广平分布式光伏发电项目,光伏电站项目备案,批复
36,2511-150621-60-01-390877,20251111105300352N,鄂尔多斯市腾超能源有限公司达拉特旗吉格斯太镇十二倾地村跃进社邬奇等2处分布式光伏发电项目,光伏电站项目备案,批复
36,2511-150103-04-02-829026,20251111105224350N,榕燠AI农情数据要素服务平台,农林牧水项目备案,批复
36,2401-150627-04-05-613315,20251110142604155N,宏泰·云泉苑工程建设项目,房地产项目备案,批复
18,2509-150826-04-01-475937,20251112164426487N,巴彦淖尔市杭锦后旗二道桥镇王俊清90.09kw户用分布式光伏发电项目,光伏电站项目备案,批复
18,2511-152222-04-05-216814,20251112164038466N,科右中旗呼和知园小区建设项目,房地产项目备案,批复
18,2511-150581-04-01-132223,20251112163726341N,中电投蒙东能源集团有限责任公司培训中心综合服务基地改造项目多功能厅项目,城市基础设施项目备案,批复
18,2511-150927-04-01-465234,20251112163346326N,乌兰察布市察右中旗2026年第一批农村电网巩固提升10千伏及以下工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
18,2404-150626-04-05-298631,20251112160117119N,图克镇葫芦素村乡村振兴产业园项目,仓储物流类项目备案,批复
18,2511-150622-60-01-984208,20251112162508292N,内蒙古自治区鄂尔多斯市准格尔旗乔先正荣自然人户用分布式光伏项目,太阳能热发电项目备案,批复
18,2511-152501-04-01-110251,20251112161708233N,中外运驿路公路口岸智慧物流通道项目,仓储物流类项目备案,批复
18,2511-150204-04-03-404760,20251112161302200N,中检集团安检安全技术服务（内蒙古）有限公司新建充电桩,加油站、加气站、充电桩项目备案,批复
18,2511-152501-04-02-984037,20251112161302204N,二连浩特市二满线出口加油站储罐改造项目,加油站、加气站、充电桩项目备案,批复
18,2511-152527-04-05-735025,20251112160756153N,内蒙古锡林郭勒盟太仆寺旗2025年严重洪涝灾害灾后应急恢复工程,城市基础设施项目可行性研究报告审批,批复
27,2511-150125-04-01-116513,20251112095352435N,武川县2026年中央财政衔接资金以工代赈项目二份子乡天德店及河东街道、村巷道硬化工程,以工代赈示范类项目可行性研究报告审批,批复
27,2511-150421-04-01-330015,20251112094733400N,智创正洁能源科技（呼和浩特市）有限公司双胜镇小新庙村东升组甄树彬非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
27,2509-150271-07-02-481167,20251112094421378N,年产5000吨高端稀土永磁材料项目,工业项目备案（工信）,批复
27,2511-150798-04-01-264802,20251112094331376N,呼伦贝尔市鸿鑫保温材料公司年产5万立方米保温材料基地建设项目,工业项目备案（发改）,批复
27,2511-152998-89-01-707951,20251112094311360N,孪井滩生态移民示范区腾格里沙漠旅游度假区东湖草原建设项目,社会事业项目备案,批复
27,2511-150626-60-02-228428,20251112094144355N,鄂尔多斯市乌审供电公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
27,2511-150424-04-01-423116,20251112093829347N,林西县北方活畜交易市场提升扩建项目,农林牧水项目备案,批复
27,2511-152502-04-02-134147,20251112093513343N,锡林浩特市2026年度庭院供热二次管网及地沟管道改造工程,城市基础设施项目可行性研究报告审批,批复
27,2511-152971-89-01-599214,20251112093428339N,阿拉善盟智新新能源有限责任公司住宅小区充电站建设项目,加油站、加气站、充电桩项目备案,批复
27,2411-152502-04-04-332843,20251112093338334N,智能审核综合监管配套设施建设项目,信息化类项目可行性研究报告审批,批复
81,2511-150923-04-05-963087,20251105140940157N,商都县玻璃忽镜乡乌尼圪其村、头号村以工代赈项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目项目建议书审批,不予许可
81,2511-150502-04-01-829734,20251105131108125N,2025年科尔沁区南顺大街燕京啤酒厂对面停车场充电站项目,加油站、加气站、充电桩项目备案,批复
81,2511-150502-04-01-342449,20251105130727113N,2025年科尔沁区红光大街蓝山郡小区北侧白衣达超市门前停车场充电站项目,加油站、加气站、充电桩项目备案,批复
81,2511-150502-04-01-209590,20251105130414111N,2025年科尔沁铁南红光大街枫景家园北门停车场充电站项目,加油站、加气站、充电桩项目备案,批复
81,2511-150502-04-01-428355,20251105130137109N,2025年科尔沁区铁南昆都仑大街通辽车务段门前停车场充电站项目,加油站、加气站、充电桩项目备案,批复
81,2511-150502-04-01-487120,20251105125850107N,2025年科尔沁区铁南昆都仑大街盛世江南北门停车充电站项目,加油站、加气站、充电桩项目备案,批复
81,2511-150502-04-01-809192,20251105125519103N,2025年科尔沁区前进路金龙苑东门路东停车场充电站项目,加油站、加气站、充电桩项目备案,批复
81,2511-150826-04-05-793005,20251105121207180N,中管禾欣(内蒙古)科技有限公司新建都市智慧产业融合项目,高新技术产业备案,批复
81,2511-150172-04-02-892777,20251105120958177N,内蒙古超高压供电公司2026年营销技术装备升级,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
81,2511-150826-04-05-311477,20251105120559173N,中管禾欣(内蒙古)科技有限公司新建现代农业温室产业建设项目,高新技术产业备案,批复
164,2510-150622-20-01-604009,20251027092758201N,准格尔旗中汇种养殖专业合作社养殖项目,农牧业项目备案,批复
164,2510-150627-60-01-495042,20251027090933173N,杨子春自然人户用分布式光伏发电项目,光伏电站项目备案,批复
164,2510-150627-60-01-667601,20251027090742169N,杨广军自然人户用分布式光伏发电项目,光伏电站项目备案,批复
164,2510-150702-04-01-987009,20251027085558150N,呼伦贝尔市易豪新能源发展有限公司老兵充电桩建设大街项目,加油站、加气站、充电桩项目备案,批复
164,2212-150602-60-01-703802,20251027085252137N,鄂尔多斯市东胜区巡游出租车换电站建立项目（共计6处）,加油站、加气站、充电桩项目备案,批复
164,2510-150625-04-01-860481,20251027084956135N,杭锦旗独贵塔拉镇永兴等三个村防洪工程,农林牧水项目建议书审批,批复
164,2510-150403-04-01-125687,20251027081428109N,元宝山区美丽河镇四家村马淑华自然人136千瓦分布式光伏发电项目,光伏电站项目备案,批复
164,2511-150622-60-01-909834,20251026200221102N,内蒙古自治区鄂尔多斯市准格尔旗李波自然人户用分布式光伏项目,太阳能热发电项目备案,批复
164,2511-150624-60-01-798911,20251026154707882N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇木凯淖尔村赵忠明40KW非自然人户用式光伏项目,光伏电站项目备案,批复
164,2511-150624-60-01-639633,20251026154200880N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇木凯淖尔村郑建军40KW非自然人户用式光伏项目,光伏电站项目备案,批复
76,2511-150304-07-02-581314,20251106093217729N,内蒙古君正化工有限责任公司超低排放改造项目,工业项目备案（工信）,批复
76,2511-150102-89-01-954787,20251106093144727N,呼和浩特市新城区储备库粮油有限公司新建成品粮储粮仓库项目,仓储物流类项目备案,批复
76,2511-150621-60-01-425654,20251106093105724N,鄂尔多斯市腾超能源有限公司达拉特旗白泥井镇七分子村北社丁牛30KW分布式光伏发电项目,光伏电站项目备案,批复
76,2511-150204-04-01-216063,20251106093103722N,内蒙古蒙羊都供应链管理有限公司安装变压器项目,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
76,2507-150207-04-01-701210,20251106093052720N,九原区赛汗片区改造工程,政府投资社会事业项目可行性研究报告审批,批复
76,2511-150223-04-01-972532,20251106092823699N,百灵庙镇红格塔拉村秦平平户用分布式光伏项目,光伏电站项目备案,批复
76,2511-150522-04-01-379570,20251106091349670N,科左后旗甘旗卡镇拥军路道路排水工程,城市基础设施项目建议书审批,批复
76,2511-150403-04-01-457731,20251106091312665N,内蒙古元昌生物科技有限公司年产35万吨优质硫酸镁项目,工业项目备案（发改）,批复
76,2511-152223-04-01-113273,20251106090232639N,2025年扎赉特旗杜美牧业养殖场肉羊养殖项目,农林牧水项目备案,批复
76,2511-150271-04-01-517274,20251106085920493N,库门瑙尔(包头)机械制造有限公司矿用专业设备制造项目,工业项目备案（发改）,批复
92,2403-150172-04-05-274052,20251104105011875N,中国人民财产保险股份有限公司内蒙古自治区分公司营业用房提升改造项目,房地产项目备案,批复
92,2511-150502-04-05-244749,20251104104253756N,麻黄草人工种植基地（庆和林场）,农林牧水项目备案,批复
92,2511-150125-04-01-514569,20251104104220753N,武川县萌动北疆.生态欢乐谷建设项目,社会事业项目备案,批复
92,2511-150105-04-01-220982,20251104104049743N,内蒙古鑫堃建设有限公司怡东家园小区充电桩建设项目,加油站、加气站、充电桩项目备案,批复
92,2409-150303-60-02-714521,20251103151306991N,国家能源集团乌海能源有限责任公司公乌素煤矿三号井技术改造项目,能源类的项目备案,批复
92,2511-150502-04-05-637864,20251104103651712N,麻黄草人工种植基地,农林牧水项目备案,批复
92,2511-150926-89-01-886444,20251104103126686N,测试件,旗县产业类项目备案,批复
92,2511-150105-04-01-957923,20251104103113682N,内蒙古鑫堃建设有限公司祥泰广场小区充电桩建设项目,加油站、加气站、充电桩项目备案,批复
92,2511-150302-04-01-867821,20251104102945680N,海勃湾高新技术产业开发区千里山选煤道路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目项目建议书审批,批复
92,2511-150902-04-01-405354,20251104102824677N,乌兰察布市西北机动车报废回收有限公司报废汽车拆解车间升级改造项目,工业项目备案,批复
125,2510-150222-04-01-548571,20251030103116861N,包头市新盛源科技有限公司高端铸造一体化配套建设项目,工业项目备案（发改）,批复
125,2405-150626-04-01-459121,20251030091615408N,纳林河工业园区固体废物综合处置场项目,环资类备案,批复
125,2510-150404-04-01-198504,20251030100515757N,泽信云尚小区二期,房地产项目备案,批复
125,2507-150824-04-01-980663,20251030100318743N,乌拉特中旗巴音乌兰苏木亚高原全民健身体育训练基地建设项目,政府投资社会事业项目可行性研究报告审批,
125,2407-150204-04-05-967704,20251030095208675N,包头职业技术学院设备更新置换项目,社会事业项目可行性研究报告审批,批复
125,2510-150925-04-01-653106,20251030095803713N,2025年凉城县暴雨洪涝灾害灾后应急恢复农村饮水安全工程(第二批),政府投资社会事业项目可行性研究报告审批,批复
125,2510-150929-04-01-806160,20251030095338689N,2025年四子王旗吉生太镇白林地行政村塞吾素自然村防洪坝及防洪护坡建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,批复
125,2309-150302-04-01-555499,20251030095241682N,年开采28万立方米砂石矿厂建设项目,工业项目备案（发改）,批复
125,2510-150929-04-01-646366,20251030094414653N,2025年四子王旗吉生太镇糖坊卜子孔独林至前古营耳营地漫水桥维修建设及防洪坝工程建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,批复
125,2510-150826-04-01-634094,20251030094307651N,巴彦淖尔市杭锦后旗陕坝镇刘靖100.1kw户用分布式光伏发电项目,光伏电站项目备案,批复
132,2510-150826-04-01-728460,20251029161812901N,巴彦淖尔市杭锦后旗蛮会镇崔东36KW户用分布式光伏发电项目,光伏电站项目备案,批复
132,2510-150502-04-01-672165,20251029161549889N,2025年科尔沁区中心大街福利路东北角科区住建局楼下停车场充电站项目,加油站、加气站、充电桩项目备案,批复
132,2510-150302-04-04-711144,20251029161508887N,化工（成品油）交易数字化综合服务平台,信息化类项目备案,批复
132,2510-150502-04-01-372145,20251029161337869N,2025年科尔沁区西拉木伦大街交通局门前停车场充电站项目,加油站、加气站、充电桩项目备案,批复
132,2510-150625-60-01-348708,20251029161133851N,鄂尔多斯市曜能新能源重卡充电站项目,加油站、加气站、充电桩项目备案,批复
132,2510-150502-04-01-389780,20251029161118847N,2025年科尔沁区交通路北段家和花园东侧停车场充电站项目,加油站、加气站、充电桩项目备案,批复
132,2510-150502-04-01-166611,20251029160837815N,2025年科尔沁区平安路北段翠堤花园北侧停车场充电站项目,加油站、加气站、充电桩项目备案,批复
132,2510-150621-60-01-249158,20251029160532811N,内蒙古磐宏建设工程有限责任公司重卡充电站建设及运营项目,光伏电站项目备案,批复
132,2510-150121-04-01-861468,20251029160459805N,呼和浩特·梦幻之城国际旅游度假区一期项目,社会事业项目备案,批复
132,2510-150982-89-01-775340,20251029160456803N,年回收20000吨废旧风机叶片综合利用项目,工业项目备案（发改）,批复
83,2503-150621-60-01-168024,20251104161023405N,青达门矿区流域碳中和驿站项目,加油站、加气站、充电桩项目备案,批复
83,2103-150526-04-01-212486,20251105105249818N,通辽市疏林草原沙化土地综合修复工程,农林牧水项目初步设计审批,批复
83,2511-152221-04-01-808087,20251105105103811N,内蒙古兴安盟薯哈哈农作物育种创新能力提升项目,农林牧水项目备案,批复
83,2511-150206-04-05-933737,20251105104818808N,年产5万吨高纯石英材料,工业项目备案（发改）,批复
83,2509-150623-04-01-284111,20251105104120795N,鄂托克前旗南部产业廊道生态综合治理项目,农林牧水项目可行性研究报告审批,
83,2511-150926-89-01-713757,20251105103535779N,内蒙古鑫泰变压器有限公司变压器生产扩建项目,旗县产业类项目备案,批复
83,2511-150622-20-01-197872,20251105102603699N,准格尔旗顺源农牧业有限公司养殖项目,农牧业项目备案,批复
83,2511-150421-04-01-123301,20251105102510688N,智创正洁能源科技（呼和浩特市）有限公司双胜镇小新庙村小新庙组董士祥非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
83,2510-150923-04-01-782945,20251105102317679N,内蒙古乌兰察布市商都县十八顷河、不冻河、特布乌拉河、杨柳河水毁修复工程,重点流域水污染防治项目可行性研究报告审批,批复
83,2511-150421-04-01-934204,20251105101900671N,智创正洁能源科技（呼和浩特市）有限公司白城子乡白城子林场王秀荣非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
99,2508-150624-04-01-497098,20251009153723998N,内蒙古自治区鄂尔多斯市鄂托克旗碱柜灌区续建配套与节水改造结余资金项目,农林牧水项目可行性研究报告审批,
99,2504-150626-04-01-116606,20251009153303962N,云栖·悦享LOFT酒店公寓项目,房地产项目备案,批复
99,2508-150723-04-01-151068,20251009152525937N,林泰物业2025年供热设备设施维修改造项目,城市供热、供气项目初步设计审批,批复
99,2510-152502-04-01-186149,20251009151838921N,锡林郭勒盟富隆矿山工程有限公司新建新能源充电桩箱式变电站安装工程,加油站、加气站、充电桩项目备案,批复
99,2510-152224-04-01-591774,20251009151630913N,2025年突泉县宝石镇宝城村民宿建设项目,政府投资社会事业项目项目建议书审批,批复
99,2510-150428-04-01-463175,20251009151405909N,赤峰凯旋石灰有限公司年产4万吨白灰粉建设项目,工业项目备案（发改）,批复
99,2510-150429-04-01-168313,20251009151332902N,朝阳市嘉晟牧业发展有限公司年出栏4000头育肥牛养殖园区建设项目,农林牧水项目备案,批复
99,2411-150822-04-01-620885,20251009150611884N,渡口镇城西村生物颗粒制造产业发展项目,农林牧水项目可行性研究报告审批,批复
99,2510-150782-04-01-706233,20251009145912844N,呼伦贝尔农垦集团2026年高标准农田建设项目,农牧领域初步设计审批,批复
99,2508-150303-04-01-309100,20251009145415832N,乌海市海南区拉僧庙镇公共停车场建设项目,政府投资社会事业项目可行性研究报告审批,批复
128,2511-150122-04-01-673456,20251029200624142N,呼和浩特市川泰新能源有限公司共有郭彩霞等4户366kw非自然人申请建设分布式光伏发电项目,光伏电站项目备案,批复
128,2511-150622-60-01-834451,20251029193008122N,内蒙古自治区鄂尔多斯市准格尔旗李钢自然人户用分布式光伏项目,太阳能热发电项目备案,批复
128,2510-150123-04-01-791725,20251029184006103N,内蒙古塞舟新能源科技有限公司和林格尔县于学良等4户376.68KW交流侧户用分布式光伏发电项目,光伏电站项目备案,批复
128,2510-150421-04-01-551979,20251029183722100N,赤峰市宁城千泰新能源有限公司绍根镇道德种牛场于占华非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
128,2510-150421-04-01-239474,20251029182518331N,赤峰市宁城千泰新能源有限公司绍根镇额黑诺尔嘎查萨仁高娃非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
128,2508-150923-04-01-854035,20251029182255330N,商都县2万吨高支链马铃薯淀粉（药用）建设项目,农牧业项目初步设计审批,批复
128,2510-150421-04-01-886328,20251029182151328N,赤峰市宁城千泰新能源有限公司绍根镇温都包尔嘎查包乐尔非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
128,2510-150421-04-01-111231,20251029181622321N,赤峰市宁城千泰新能源有限公司绍根镇额黑诺尔嘎查那仁朝格图非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
